Filename, reach_iter, reach_inc_chain, reach_inc_direct

reach.in.1000,42.71,0.40,0.35
reach.in.100000_10000_2,8.68,0.01,0.00
reach.in.100000_1000_2,0.42,0.01,0.00
reach.in.100000_50000_2,57.09,0.13,0.11
reach.in.100000_5000_2,3.69,0.01,0.00
reach.in.100000_500_2,0.25,0.01,0.00
reach.in.10000_1000_2,0.43,0.01,0.01
reach.in.10000_1500_2,0.75,0.02,0.00
reach.in.10000_5000_2,5.40,0.08,0.05
reach.in.10000_500_2,0.30,0.00,0.00
reach.in.1000_1000_2,74.21,0.68,0.78
reach.in.1000_150_2,0.06,0.00,0.00
reach.in.1000_250_2,0.53,0.00,0.00
reach.in.1000_500_2,0.20,0.00,0.00
reach.in.1000_750_2,37.52,0.36,0.40
reach.in.100_100_2,0.69,0.05,0.04
reach.in.100_25_2,0.19,0.01,0.00
reach.in.100_50_2,0.05,0.02,0.01
reach.in.10_5_1,0.01,0.00,0.00
reach.in.10_5_2,0.01,0.00,0.00
reach.in.10_8_1,0.03,0.01,0.01
reach.in.1000,66.51,0.94,0.78
